Coluna;Grupo/Principais Espécies
Ano;42-Ap Tempo Contrib LOPS;46-Ap Tempo Contrib Especial;Outras Ap Tempo Contrib;Ap Idade;Ap Idade Rural;Ap Invalidez;Ap Invalidez Rural;Pensões por Morte;Auxílio Doença;Auxílio Reclusão;Auxílio Acidente;Salário-Família;80-Salário-Maternidade;Abono de Permanência;Vantagem do Servidor;Auxílio Doença Acidentário;Auxílio Acidente Acidentário;Auxílio Suplementar Acidentário;Aposentadoria por Invalidez Acidentária;Pensão por Morte Acidentária;Rmv Invalidez;Rmv Idade;Pensões Mensais Vitalícias - Seringueiro;Pensões Mensais Vitalícias - Dep. Seringueiro;87-Amparo Portador de Deficiência;88-Amparo Idoso;EPU - Ap. TC Anistiados;EPU - Ap. Invalidez;EPU - Pensão por Morte;EPU - Pensões Mensais Vitalícias;EPU - Salário-Família;Total
2002;2936572;427489;41658;1645551;4277443;1892565;413970;5316523;750713;10113;5946;8;87910;3703;331;94695;259463;95571;118998;129863;435279;236291;12421;5180;971440;582356;0;0;0;454;0;20752506
2003;3007513;418076;44999;1757193;4394586;1958450;418564;5456123;978607;12941;7466;2;24680;3291;289;106400;261164;93180;124908;129943;402122;207860;11740;5423;1029084;662230;0;0;0;471;0;21517305
2004;3084992;408319;47214;1916343;4506463;2051967;422721;5614904;1232583;15891;8993;4;28046;2950;254;118035;261767;91052;131215;130033;368827;180415;11236;5752;1121275;928369;0;0;0;508;0;22690128
2005;3164748;398803;49271;2020714;4633572;2191784;434909;5765181;1225043;19484;11192;4;24475;2292;224;104365;263001;88307;138339;129847;338612;156656;10602;5955;1207318;1061167;0;0;0;536;0;23446401
2006;3282205;389310;51076;2125310;4799904;2266429;436336;5931858;1330042;23130;14525;0;35493;1724;179;91253;265832;85712;141952;129328;309230;134700;9944;6207;1299729;1191513;998;73;6579;561;4;24361136
2007;3443887;380819;55175;2243930;4960626;2292983;429522;6104332;1138222;25654;17848;0;42224;1137;148;127379;267001;82073;143602;128741;282507;115307;9265;6363;1393527;1305967;854;59;5814;604;6;25005576
2008;3623766;373141;59002;2383734;5141647;2371137;430404;6292373;1072231;29030;21924;0;53222;820;133;161992;268763;78437;148228;127852;259519;100123;8636;6525;1521410;1433950;787;51;5443;1343;7;25975630
2009;3814213;366937;62801;2542420;5327932;2426727;430084;6467582;980076;33200;25281;0;64378;541;115;140833;270986;74024;153866;126530;235522;84267;8051;6661;1633420;1544945;724;44;5058;4043;6;26831267
2010;3986127;361468;68189;2670765;5501055;2481113;432268;6638425;1192005;37289;29255;0;67142;431;98;176629;276723;71386;160633;125122;213893;70869;7430;6729;1785185;1627899;506;38;4609;5747;6;27999034
2011;4170131;357247;74078;2809756;5655294;2528670;434248;6803879;1233846;43124;34337;0;69246;363;82;173505;284068;68384;167880;123665;193267;58721;6796;6692;1911134;1689339;398;35;4229;7000;5;28909419
2012;4354366;356343;80044;2983748;5825221;2581323;437606;6980140;1275190;48550;40409;0;72039;287;65;166276;291051;65020;175584;122076;176090;49471;6262;6646;2024666;1753112;338;32;3901;7562;5;29883423
2013;4547175;360093;86441;3178849;5998771;2633933;443530;7165712;1394833;54916;47498;0;78488;199;54;172668;300226;61436;183122;120355;159681;40898;5728;6598;2148091;1827322;293;26;3589;7720;5;31028250
2014;4733462;363973;92852;3377916;6145258;2682060;450284;7323921;1483183;58399;54996;0;77584;137;44;170239;308788;57997;190044;118245;144669;33726;5168;6536;2257967;1880028;265;25;3283;7658;3;32028710
2015;4909713;369969;100666;3551526;6240540;2705484;453737;7429823;1458273;56062;61964;0;54700;110;35;154474;313259;54747;194734;116082;131566;27707;4662;6473;2326506;1925220;245;22;3057;7503;3;32658862
2016;5174442;380604;114067;3793597;6318084;2732249;456412;7564822;1486505;60662;70909;0;49574;91;31;143451;317741;46347;199847;113736;117210;21272;4161;6405;2437674;1976649;217;19;2786;7263;3;33596830
2017;5461947;391870;128300;4067047;6409049;2785404;462934;7668861;1212565;61842;82537;0;79677;74;28;114404;321908;42474;204660;111314;105078;16590;3729;6329;2525924;2020204;194;16;2535;7013;3;34294510
2018;5659937;402412;137485;4319874;6486097;2860066;467059;7712619;1084209;60830;96807;0;43761;66;18;102283;328947;39607;209370;108660;95093;12939;3326;6152;2601376;2045024;180;13;2340;6768;4;34893322
2019;5907865;410097;149473;4626960;6525650;2894928;471364;7810644;952854;54215;112229;0;52150;61;14;86140;335519;34645;208291;106320;85332;9940;2978;5917;2589347;2060822;164;9;2161;6578;0;35502667
2020;6039838;421256;154484;4813197;6578663;2807977;456140;7881220;825388;46561;120005;0;41211;55;7;74917;342242;29526;202580;103509;77062;7776;2539;5657;2559017;2107554;147;9;1996;6706;1;35707240
2021;6091383;424992;158248;5044508;6638277;2751063;454092;8066088;850121;35616;131610;0;58127;48;6;73726;348235;26181;200436;100295;68746;5883;2123;5380;2580833;2170223;134;9;1794;6548;1;36294726
2022;6220454;427598;163440;5333049;6798680;2774668;454510;8207013;964059;30818;145427;0;62065;42;6;81545;361951;23264;201816;97944;61862;4479;1833;5177;2795468;2367667;123;9;1635;6389;1;37592992
Total;93614736;8190816;1918963;67205987;119162812;52670980;9290694;144202043;24120548;818327;1141158;18;1166192;18422;2161;2635209;6248635;1309370;3600105;2499460;4261167;1575890;138630;128757;40720391;34161560;6567;489;60809;98975;63;620969934
