Coluna;Grupo/Principais Espécies
Ano;42-Ap Tempo Contrib LOPS;46-Ap Tempo Contrib Especial;Outras Ap Tempo Contrib;Ap Idade;Ap Idade Rural;Ap Invalidez;Ap Invalidez Rural;Pensões por Morte;Auxílio Doença;Auxílio Reclusão;Auxílio Acidente;Salário-Família;80-Salário-Maternidade;Abono de Permanência;Vantagem do Servidor;Auxílio Doença Acidentário;Auxílio Acidente Acidentário;Auxílio Suplementar Acidentário;Aposentadoria por Invalidez Acidentária;Pensão por Morte Acidentária;Rmv Invalidez;Rmv Idade;Pensões Mensais Vitalícias - Seringueiro;Pensões Mensais Vitalícias - Dep. Seringueiro;87-Amparo Portador de Deficiência;88-Amparo Idoso;EPU - Ap. TC Anistiados;EPU - Ap. Invalidez;EPU - Pensão por Morte;EPU - Pensões Mensais Vitalícias;EPU - Salário-Família;Total
2002;2073958431,17996;331689679,960044;43870396,5700043;493204283,719997;853078849,94004;542667180,979998;84764200,8500097;1391569067,66999;338672300,100046;3353874,94999963;1267185,06000028;0;40332659,6399959;935000;57000;54448690,5500034;52888043,8900045;6380070,10000081;51274326,3899887;54804365,6000046;87055805,75;47258200;4968400;2061066,60999894;194288200;116471200;0;0;0;298669,08000004;0;6871617148,59008
2003;2553706833;390441487;53632424;636220451;1052002257;709799909;103270229;1758054339;543916761;5150152;1905112;0;6731835;991690;50389;73809654;65257373;7445942;67160169;66341634;96509286;49886400;5635200;2584320;246980400;158935200;0;0;0;364721;0;8656784167
2004;2799321348,7991;408069727,990105;55833627,6900113;739753648,040018;1167315039,96006;834175896,759788;112835084,509987;1977777051,89006;732128719,40994;6579968,91000111;2419338,00999992;0,5600000000004;9005110,37999829;931664,989999857;44744,2600000065;87336965,4300081;70280951,0099865;7616362,39999887;77667056,28;70428445,3000183;95895017,4500122;46907900;5842720;2967639,89999993;291531760;241375940;0;0;0;404716,590000038;0;9844446446,5191
2005;3075058398,15053;430567461,439875;60050376,9100102;844730802,220197;1380624903,82996;1010419866,64988;132688699,699989;2265245073,31956;793676090,639785;8517590,0200003;3220175,99000008;0,540000000000418;8966750,33000067;783737,219999978;43025,3600000085;82566164,5499756;77228232,5200329;7877350,92000031;91049497,4800319;75649483,9799858;101583723,809998;46996800;6361200;3545100;362195640;318350000;0;0;0;452884,370000027;0;11188449029,9498
2006;3354544364,98141;447296193,039653;61056833,4399873;951600586,849027;1662889425,36939;1142370105,55026;153339519,260032;2607113619,58904;917569391,689213;10526268,3100016;4415581,59999693;0;14819323,7900034;634900,030000009;33838,5800000111;74500708,5399114;84313357,4600966;8045122,8600091;101042423,780026;80033925,9300349;108230612,519981;47145000,0000305;6960800;4309549,94999941;454907318,300068;417030539,149796;4282905,52000343;53093,9300000449;4636052,66999831;490091,270000037;0,539999999999509;12724191454,498
2007;3646510698,86903;457066229,440175;66749581,3699597;1063483047,94037;1864346492,13992;1228331833,11005;163018790,799918;2851072672,79049;817492777,110901;12104666,7800005;5746756,22000179;0;19841776,4800044;447974,929999967;27743,4500000058;103015097,069907;89732304,4699964;7967354,2500022;107602315,450032;83047589,7900448;107352767,000008;43816660,0000076;7041400;4797879,93999535;529560947,520056;496273539,23996;3952202,63999988;43136,1999999811;4262808,4600025;545384,819999935;0,819999999999254;13785252429,1008
2008;4032807209,35396;475191590,83004;72916381,1699254;1215596703,33048;2109717639,84968;1383118378,15165;177710705,800066;3188852739,9512;806605285,030057;14388798,2600066;7594469,31000147;0;27002411,0199816;357318,95000012;24240,6200000088;134400488,130182;97044238,9998379;7972488,89000868;119294022,990059;87373847,1299851;107700489,350052;41551045,0000248;7167880,00000381;5369269,92999926;631403481,140293;595094949,470854;3884366,48999872;41697,3099999796;4389998,26000034;1154545,7799998;0,949999999999591;15355726681,4484
2009;4491508486,75127;500824320,080285;80425331,9400252;1404999736,00894;2448018093,89932;1544567788,04916;197956404,140086;3601050376,46071;774079673,710002;17654014,1499861;9502373,60000376;0;36833779,8200297;271109,719999929;22198,8800000071;123624301,779988;106512367,550061;7957834,90000227;133702330,749974;92370078,0600034;109517711,559998;39184155,0000038;7487430;6142650,00001144;759562180,760323;718405276,449883;3856008,27000111;38953,4099999862;4695564,21000514;3458817,30000002;0,819999999999709;17224229348,0301
2010;5149662807,42992;542374674,420032;93260999,2000163;1846219395,01014;2812183813,61003;1973981108,89966;223740710,04002;4698508011,34968;1011840275,95994;22232837,1100042;12213080,65;0;41795233,8200074;244469,539999959;18623,9400000039;164537608,500004;126520482,310012;9851346,05999971;160320492,460004;106802204,200004;109085372,5;36143190;7578600;6805100;910435689,669983;830225516,929993;3285103,01999859;45091,819999977;6062684,02000061;5264912,8499992;0,819999999999709;20911239436,1394
2011;5744977224,67817;584424550,039979;105329884,25999;2085608199,52946;3089361232,72942;2177244163,68948;240103027,649995;5192491555,89061;1099301929,38023;27262098,0200084;15325431,2699997;0;46878307,2199901;217031,360000004;16901,6500000001;171327833,529967;141111393,29994;10087095,3599991;180584026,520013;113228062,669989;105330230;32002875;7407640;7233512,4299984;1041554781,09012;920687405,789932;2906622,71000117;40139,4699999914;6045979,37999932;6790089,70999963;0,670000000000073;23154879224,9973
2012;6389799999,51845;630389439,680004;119372920,130003;2450038835,92049;3630367335,36052;2450382795,76036;275336798,290025;5906736320,93903;1212472955,34992;33315598,9100075;19579862,6400031;0;55038063,9199993;186643,17000001;12603,7699999975;175557484,769992;157821836,650014;10553267,7699973;204802467,789978;121501819,659974;109527903;30770962;7789928;8195679,25999641;1259331446,01001;1090434190,08005;2711807,61000034;39675,0499999989;6245374,36000082;7789373,76000034;0,670000000000073;26366103389,7988
2013;7103995236,33087;693045639,500078;135074130,29998;2826750881,39037;4074535661,70975;2737081972,70965;303923645,319984;6603815389,78022;1416235498,91007;40315441,8599994;24974182,5799998;0;60702824,3199935;140578,799999982;10808,3399999959;196086837,380016;178149481,960061;10744893,1400019;231564556,880026;129493306,730003;108263494;27728844;7767168;8874456;1456387302,85989;1238920179,85007;2525919,08999998;31911,0599999949;6372746,55000132;8471940,07000049;0,670000000000073;29631984930,091
2014;7817128668,7614;757001282,960101;151223971,510002;3208710505,56907;4457166908,96027;2977805872,65998;329231780,189966;7223197479,79089;1587243558,91026;45371169,4599945;30600762,8899965;0;64591067,2699924;102744,320000011;9399,08999999776;206459999,280014;197064838,48005;10795985,0199965;255478480,839979;135471503,149999;104740060;24417384;7483264;9385935,92000198;1634749372,1599;1361134973,01997;2444530,15999941;32151,8299999945;6389309,0000011;8889250,84000094;0,389999999999873;32614322210,4318
